word1	word2	anc1	anc2	fsg	bsg	con1	con2	nphon1	nphon2	easiness	index
husband	wife	7.993	8.044	0.885	0.677	5.45	5.8	7	3	29.823	31765
girl	boy	7.848	7.857	0.738	0.701	6.83	6.23	3	2	27.304	27255
king	queen	7.662	6.641	0.772	0.73	5.54	6.38	3	4	25.638	34680
dad	mom	7.399	7.47	0.71	0.759	6.13	6.4	3	3	25.453	16067
cash	money	7.225	9.128	0.814	0.212	6.28	5.77	3	4	25.301	9552
woman	man	8.234	8.917	0.595	0.66	5.68	6.14	5	3	24.106	71293
frame	picture	6.562	7.675	0.811	0.316	6	6.75	4	5	23.891	25600
house	home	9.381	9.296	0.582	0.333	6.21	6.25	3	3	23.881	31492
mother	father	8.289	8.068	0.597	0.706	5.47	5.9	4	4	23.115	40835
dog	cat	7.539	7.508	0.667	0.513	5.75	6.21	3	3	22.16	19186
plasma	blood	6.443	8.186	0.818	0.051	5.08	6.55	6	4	21.516	46989
sand	beach	6.284	7.644	0.717	0.394	6.25	6.08	4	3	21.217	54525
globe	world	6.982	9.433	0.679	0.182	5.57	5.29	4	4	20.551	27449
salt	pepper	6.688	5.796	0.701	0.695	5.69	5.61	4	4	20.467	54476
sister	brother	7.395	7.352	0.538	0.746	5.71	5.91	5	5	19.912	57577
physician	doctor	5.943	7.196	0.804	0.04	6.59	5.75	7	5	19.637	46251
female	male	7.396	7.431	0.552	0.648	6.17	5.48	5	3	19.609	23729
avenue	street	6.261	8.536	0.678	0.096	6.48	5.84	5	5	18.952	3615
infant	baby	5.733	7.667	0.746	0.045	6.76	5.77	6	4	18.632	32611
film	movie	8.11	8.675	0.543	0.195	5.91	5.85	4	4	18.554	24012
silver	gold	6.441	7.097	0.638	0.472	5.36	5.68	5	4	18.173	57332
puppy	dog	5.257	7.539	0.752	0.115	6.34	5.75	4	3	18.117	50140
daughter	son	7.576	7.857	0.444	0.586	6.25	6.38	4	3	18.004	16422
circle	square	6.485	7.463	0.635	0.473	5.14	5.15	5	5	17.963	11236
cap	hat	6.655	6.28	0.709	0.06	6.77	5.97	3	3	17.522	9019
bed	sleep	7.283	7.349	0.638	0.092	6.59	4.74	3	4	16.907	5020
forest	tree	6.62	7.308	0.628	0.034	6.37	6.62	6	3	16.726	25305
leaf	tree	5.67	7.308	0.642	0.162	5.89	6.62	3	3	16.328	35632
leg	arm	6.271	6.94	0.503	0.673	6.04	5.53	3	3	16.23	35849
fuel	gas	6.387	7.217	0.664	0.154	5.47	5.34	5	3	16.22	26254
navy	army	5.945	7.311	0.543	0.5	5.08	6.53	4	4	16.025	41658
photo	picture	6.737	7.675	0.577	0.061	5.88	6.75	4	5	15.949	46208
acre	land	5.537	7.683	0.675	0.02	5.91	6.07	3	4	15.88	472
flight	airplane	7.256	5.602	0.669	0.051	4.68	6.83	4	6	15.412	24590
city	town	9.055	8.392	0.307	0.529	5.41	5.52	4	3	15.286	11294
umbrella	rain	4.754	6.93	0.701	0.038	7	5.77	7	3	15.266	67497
chair	table	6.567	8.65	0.314	0.756	6.12	6	3	5	15.064	10068
pine	tree	5.557	7.308	0.642	0.014	5.88	6.62	3	3	14.999	46599
