cond	onset	word1	word2
4.0	0	ϞŒƘΨƱƋ	ϞΓƘΨƱƋ
4.1	2	ƕΔЖΨƏ	ƕΔЖΨƏ
4.0	4	ΞƱΓƜʖΞ	ΞƧΓƜʖΞ
4.0	6	ΘЖʖΞΨ	ΘЖƱΞΨ
4.1	8	ŒΓΓƱΞƋ	ŒΓΓƱΞƋ
4.1	10	ΨϞƧƩΓϞ	ΨϞƧƩΓϞ
4.1	12	ƕƱʖΔƱϞ	ƕƱʖΔƱϞ
4.0	14	ƩŒƋΨΔ	ƩŒƋΨʖ
3.1	16	ƟδƧƩΔʖ	ƟδƧƩΔʖ
3.0	18	ΘδƧδΓ	ΔƧƱΔΨΞ
3.0	20	ƕΦƱƘΦΓ	ΨΞƋЖΨ
3.1	22	ΦΓЖΔƕ	ΦΓЖΔƕ
3.1	24	ƟϞϞΞƜ	ƟϞϞΞƜ
3.0	26	ϞΦƜΨƩƏ	ƧΞƋʖδ
3.0	28	ƘƜδƘδ	ΘƏΔΦƏƋ
3.0	30	ƟƏΘΓƏ	ƱΞƩϞŒƜ
5.0	32	<REST>	<REST>
4.0	48	ΞƕΞЖƱƧ	ΞƕΞЖƱƟ
4.1	50	ΞƋƱƧΘΓ	ΞƋƱƧΘΓ
4.1	52	ЖΓƧΓƘ	ЖΓƧΓƘ
4.1	54	ƘЖƧΔδ	ƘЖƧΔδ
4.0	56	ŒƏƟƜΞΨ	ŒƏƟƏΞΨ
4.0	58	ƧΔƏΦƜ	ƧΔƏƩƜ
4.0	60	ʖʖʖƘδЖ	ʖʖʖƘƜЖ
4.0	62	ΘΞƧƩƕƕ	ΘΞƧƩƧƕ
4.0	64	ʖƟЖΓƕ	ʖƟΔΓƕ
4.0	66	ƋŒΦʖƘδ	ƋŒΦΨƘδ
4.1	68	ƜΓΞƱƏΘ	ƜΓΞƱƏΘ
4.0	70	ΘΘƧƱƘΘ	δΘƧƱƘΘ
4.1	72	ƕŒΔƘƩ	ƕŒΔƘƩ
4.0	74	ΘʖΔϞΘ	ΘƧΔϞΘ
4.0	76	ƘΔʖΔΘƘ	ƘΔʖΔΞƘ
4.0	78	ΔΓƩƕϞƋ	ƩΓƩƕϞƋ
5.0	80	<REST>	<REST>
4.0	96	ƱδΓδΨ	ƱΔΓδΨ
4.0	98	ƋƕЖƱΨ	ƋƟЖƱΨ
4.0	100	ƩΘƏƜΔ	ƩΘƏƩΔ
4.0	102	ϞϞΘƕΞ	ϞϞΘƕƜ
4.1	104	ΨŒЖΘƕ	ΨŒЖΘƕ
4.1	106	ЖŒƩΘƩƧ	ЖŒƩΘƩƧ
4.1	108	ƕƩΘΔЖƩ	ƕƩΘΔЖƩ
4.1	110	ϞΘƧΞϞ	ϞΘƧΞϞ
3.1	112	ƟΔδƋΞ	ƟΔδƋΞ
3.0	114	ƱΞʖƱЖŒ	ΞʖΞƘΞ
3.0	116	ƏδƧΘƟƏ	ƕΓΔЖƋ
3.0	118	ΦʖΔƩΓ	ƘƧƧŒΦΔ
3.0	120	ΨƱƜƕƧ	ΦΨƕƟΦΔ
3.0	122	ΦƏŒΨƩ	ƟΔƋЖδƟ
3.0	124	ʖƟƘΦʖƕ	ΦƋƜƩΔ
3.1	126	ϞΘЖƘΔ	ϞΘЖƘΔ
1.1	128	avenue	street
1.0	130	time	officer
1.0	132	rabbit	kind
1.1	134	corner	block
1.1	136	write	paper
1.0	138	mirror	branch
1.1	140	couch	chair
1.1	142	wife	husband
2.0	144	decoy|measles|analogy	nervous|logic|bleak
2.0	146	shock|alter|ego	drape|scowl|flicker
2.1	148	casket|squint|slang	burial|scowl|idiom
2.1	150	kale|design|gilt	spinach|logos|ornate
2.1	152	gavel|remedy|mystic	court|cure|seer
2.1	154	bishop|scarlet|valor	parish|blush|merit
2.1	156	steak|ripe|humor	brisket|wither|levity
2.0	158	errand|cope|bravery	kernel|outpost|lunge
1.1	160	tape	record
1.1	162	butter	bread
1.0	164	shell	flower
1.0	166	mountain	pill
1.1	168	family	home
1.0	170	animal	cold
1.1	172	channel	radio
1.1	174	write	letter
3.0	176	ƩƏΞƟƋ	ʖƩƕƏδϞ
3.1	178	ƋδЖЖƕΔ	ƋδЖЖƕΔ
3.0	180	ƕƧΞϞƕƧ	ΞƏƏƱƜ
3.0	182	ΦƘƟƧŒΓ	ΞŒƋϞƜ
3.0	184	ΦƩϞΞϞ	ЖΦΔƘƟƱ
3.1	186	ΦƧδƩƟδ	ΦƧδƩƟδ
3.1	188	ΨƟδƋƟΘ	ΨƟδƋƟΘ
3.1	190	ƟŒΓƩʖ	ƟŒΓƩʖ
5.0	192	<REST>	<REST>
3.1	208	ʖΞΦƋΦ	ʖΞΦƋΦ
3.0	210	ϞƏƘƏƕЖ	ƕƱΓƩʖ
3.1	212	ƏƋΓΘΘ	ƏƋΓΘΘ
3.0	214	ΦϞδδΞΓ	ƋƕΓƕΦ
3.1	216	ΔΦƩƜŒƜ	ΔΦƩƜŒƜ
3.1	218	ƟƏʖΔϞ	ƟƏʖΔϞ
3.1	220	ƏƜΞƕƱΨ	ƏƜΞƕƱΨ
3.1	222	ƧƜΘƏƜƜ	ƧƜΘƏƜƜ
