cond	onset	word1	word2
3.0	0	ΓΔЖƏЖƩ	ƟƏΦʖƏ
3.0	2	ΔΘƋΞŒ	ΦƟΞЖƧΨ
3.0	4	ΞΔƋΓŒ	ƱƱƘʖƘδ
3.1	6	ƋΓδΦƜΘ	ƋΓδΦƜΘ
3.0	8	ΨƜЖƱƏЖ	ƧΞʖŒδ
3.1	10	ƧƘƩƋƕ	ƧƘƩƋƕ
3.1	12	ƋƱƘΔδδ	ƋƱƘΔδδ
3.1	14	ƘŒΦƩΘ	ƘŒΦƩΘ
1.1	16	tower	building
1.1	18	pillow	blanket
1.0	20	football	stain
1.0	22	room	woman
1.0	24	light	vacation
1.0	26	face	mouse
1.0	28	film	water
1.0	30	toilet	chicken
5.0	32	<REST>	<REST>
2.1	48	soprano|airship|peon	choral|aerial|caste
2.0	50	tally|clink|idle	blessing|slip|beech
2.0	52	ate|refrain|inferno	copper|perish|rector
2.0	54	pale|troupe|surtax	alert|invader|brigand
2.0	56	gallant|cure|numb	plunge|stalk|dowry
2.0	58	gig|lair|jitterbug	wallet|broom|raze
2.1	60	quest|wheat|lye	seek|flax|turpentine
2.0	62	revenue|womb|brisket	spruce|prune|finite
5.0	64	<REST>	<REST>
3.0	80	ƜƋƟΦŒΞ	ΔʖΦƟʖ
3.0	82	ƜΦΞŒƱ	ƩƏƩΘŒΘ
3.0	84	ƋƧΓƏΞ	ƜδƩΔƩδ
3.1	86	ΨƕΨƘΨ	ΨƕΨƘΨ
3.1	88	ʖƋƘΘΔδ	ʖƋƘΘΔδ
3.1	90	ŒΦΓЖΦƕ	ŒΦΓЖΦƕ
3.1	92	ϞƟΨϞδ	ϞƟΨϞδ
3.0	94	ƱƩŒƘΔƱ	ƏƏʖΨƩ
4.0	96	ʖЖΔƩƧ	ʖЖΔΓƧ
4.0	98	ƏƕʖϞƋ	ƏƕʖϞƕ
4.1	100	ƜƜЖΘΨ	ƜƜЖΘΨ
4.1	102	ƋΞƩƕƜƧ	ƋΞƩƕƜƧ
