cond	onset	word1	word2
1.1	0	paragraph	page
1.0	2	face	mouse
1.0	4	orange	stomach
1.1	6	thumb	hand
1.0	8	chicken	banana
1.1	10	child	baby
1.1	12	restaurant	bar
1.0	14	tongue	costume
5.0	16	<REST>	<REST>
4.0	32	ƱϞƜƋƧ	ƱϞƜŒƧ
4.1	34	ʖΨΓЖΔƩ	ʖΨΓЖΔƩ
4.1	36	ƘƋƜΔЖ	ƘƋƜΔЖ
4.1	38	ƜƕƘƩƧʖ	ƜƕƘƩƧʖ
4.1	40	ΔƩƘƋΓΘ	ΔƩƘƋΓΘ
4.0	42	ƱƧΞƱƏ	ƱƧƜƱƏ
4.1	44	δŒΞƧƧ	δŒΞƧƧ
4.1	46	ƋΔΔΞƟΞ	ƋΔΔΞƟΞ
5.0	48	<REST>	<REST>
4.1	64	ϞƘƩΓΞ	ϞƘƩΓΞ
4.0	66	ƧΘЖΔδƏ	ƧΘЖΔδΓ
4.0	68	ʖЖƧΓƧ	ʖƘƧΓƧ
4.1	70	ΞΦƏΔƕΞ	ΞΦƏΔƕΞ
4.1	72	ŒΞʖƕƱƟ	ŒΞʖƕƱƟ
4.1	74	ƜƩƧƜδ	ƜƩƧƜδ
4.0	76	ƕƘΓƋƩ	ƕƘΓƋΓ
4.0	78	ΘΞЖδƕΨ	ΘΞЖδδΨ
1.0	80	toilet	chicken
1.1	82	report	officer
1.0	84	record	holiday
1.1	86	throw	ball
1.0	88	shield	husband
1.1	90	school	teacher
1.0	92	room	woman
1.0	94	food	stone
3.0	96	ƜƜŒŒΦʖ	ƧƱϞƕʖЖ
3.0	98	ΞƱЖΘδƋ	ΔƟδЖƱϞ
3.1	100	ΘƕΘΞʖŒ	ΘƕΘΞʖŒ
3.1	102	δƋΘΓΞ	δƋΘΓΞ
3.1	104	ʖΔΦƏƘ	ʖΔΦƏƘ
3.1	106	ŒƏƱƩΞΦ	ŒƏƱƩΞΦ
3.1	108	ƋΨϞƜƱŒ	ƋΨϞƜƱŒ
3.0	110	ʖƋʖƕΨ	ŒΘΓʖŒ
