order	word1	word2	word1e	word2e	easiness
1784	man	woman	11.11	8.655	9.882
998	dog	cat	9.958	9.333	9.645
1439	home	bed	9.514	9.6	9.557
1753	room	house	8.801	10.185	9.493
323	arm	leg	9.375	9.055	9.215
329	family	home	8.8	9.514	9.157
680	read	book	8.051	10.119	9.085
327	get	take	9.793	8.296	9.044
1221	night	bed	8.341	9.6	8.97
1097	kid	child	9.22	8.608	8.914
1099	girl	woman	9.044	8.655	8.849
2	day	week	10.181	7.462	8.821
1226	hold	hand	7.394	10.219	8.806
1785	cat	mouse	9.333	8.17	8.751
437	bed	sleep	9.6	7.816	8.708
1325	child	baby	8.608	8.577	8.592
551	ball	game	9.056	8.062	8.559
1712	page	paper	8.193	8.716	8.454
805	stay	go	6.629	10.275	8.452
672	play	game	8.754	8.062	8.408
1681	mother	father	8.897	7.816	8.356
1719	sink	water	6.616	10.077	8.346
1098	ice	snow	8.736	7.904	8.32
1639	food	meal	9.468	7.108	8.288
1326	rock	stone	9.114	7.431	8.272
547	film	movie	7.179	9.326	8.252
1219	father	child	7.816	8.608	8.212
220	table	chair	8.683	7.724	8.203
331	thumb	hand	6.184	10.219	8.202
1	rat	mouse	8.209	8.17	8.19
3	face	smile	9.329	6.925	8.127
1445	step	walk	8.109	8.127	8.118
1756	sit	chair	8.485	7.724	8.105
326	snow	rain	7.904	8.267	8.086
1674	door	open	9.26	6.909	8.085
690	sleep	night	7.816	8.341	8.078
1648	age	old	7.849	8.234	8.041
667	leg	knee	9.055	6.926	7.99
324	hat	coat	8.326	7.632	7.979
4	water	swim	10.077	5.8	7.939
451	white	black	7.88	7.982	7.931
1713	rain	wet	8.267	7.501	7.884
776	town	city	8.047	7.701	7.874
1696	foot	toe	8.732	6.967	7.85
1029	less	more	6.971	8.727	7.849
1105	week	year	7.462	8.213	7.838
1213	fire	burn	9.215	6.433	7.824
1711	wall	roof	9.029	6.585	7.807
1837	tea	milk	7.1	8.484	7.792
789	move	step	7.46	8.109	7.784
1936	bear	wolf	8.902	6.661	7.781
1545	pie	cake	7.947	7.614	7.78
886	key	lock	9.437	6.104	7.77
1691	sun	moon	9.075	6.398	7.736
1940	watch	show	7.996	7.467	7.731
1011	sock	shoe	6.874	8.563	7.719
554	work	job	7.858	7.575	7.717
139	throw	ball	6.353	9.056	7.705
1819	shirt	pants	7.788	7.596	7.692
443	plant	seed	8.397	6.976	7.686
1220	lock	door	6.104	9.26	7.682
224	ring	bell	7.594	7.763	7.679
1330	farm	cow	7.446	7.86	7.653
221	park	zoo	8.344	6.944	7.644
894	river	sea	7.217	8.065	7.641
553	school	teacher	8.83	6.419	7.625
1754	wing	bird	7.015	8.233	7.624
914	bump	head	5.49	9.755	7.623
892	toy	doll	8.234	6.965	7.599
1449	block	street	7.254	7.902	7.578
1875	leaf	tree	6.194	8.947	7.571
1344	mirror	face	5.733	9.329	7.531
441	lake	river	7.825	7.217	7.521
1694	tree	branch	8.947	5.963	7.455
1462	last	first	7.558	7.345	7.451
438	net	fish	6.536	8.293	7.414
669	band	music	6.901	7.925	7.413
1720	sheet	paper	6.082	8.716	7.399
1735	write	letter	7.553	7.177	7.365
1010	sister	brother	7.48	7.23	7.355
1791	knife	gun	6.668	8.042	7.355
1903	goal	ball	5.615	9.056	7.336
455	cry	sad	7.752	6.895	7.324
1553	mail	letter	7.399	7.177	7.288
1717	hop	jump	7.173	7.379	7.276
1140	count	number	7.017	7.487	7.252
1763	wet	wash	7.501	6.985	7.243
1032	chew	food	4.999	9.468	7.234
1328	sign	pen	8.121	6.299	7.21
1640	sea	ocean	8.065	6.287	7.176
1789	pond	fish	6.028	8.293	7.16
1550	suit	hat	5.99	8.326	7.158
557	plate	fork	7.72	6.568	7.144
676	live	die	7.105	7.179	7.142
1441	cow	goat	7.86	6.348	7.104
1144	sight	eye	4.5	9.686	7.093
1922	eye	sight	9.686	4.5	7.093
335	cookie	sugar	6.987	7.197	7.092
346	birth	baby	5.595	8.577	7.086
122	high	low	7.475	6.682	7.078
1927	library	read	6.103	8.051	7.077
25	bad	worse	8.248	5.805	7.027
1060	worse	bad	5.805	8.248	7.027
1678	tape	record	7.578	6.471	7.025
333	ray	sun	4.973	9.075	7.024
1558	wig	hair	5.173	8.858	7.016
1457	chin	nose	5.792	8.206	6.999
1870	nose	chin	8.206	5.792	6.999
1715	coat	jacket	7.632	6.363	6.998
465	keep	stay	7.364	6.629	6.997
1703	long	short	7.891	6.1	6.996
1944	short	long	6.1	7.891	6.996
1886	brick	wall	4.941	9.029	6.985
891	bank	cash	6.897	7.038	6.968
1554	barn	horse	6.601	7.33	6.965
222	hill	mountain	8.645	5.264	6.954
10	dress	suit	7.891	5.99	6.941
1324	head	skull	9.755	4.102	6.929
691	pass	test	6.302	7.548	6.925
1698	kiss	love	7.263	6.579	6.921
7	paper	pencil	8.716	5.119	6.918
14	floor	roof	7.203	6.585	6.894
1003	beer	drink	6.159	7.618	6.888
1216	mud	sand	6.779	6.996	6.888
1016	couch	chair	6.05	7.724	6.887
9	sky	earth	7.374	6.373	6.874
124	few	many	6.453	7.28	6.867
116	eat	hungry	9.135	4.583	6.859
812	answer	call	5.645	8.067	6.856
1641	king	queen	7.242	6.43	6.836
896	talk	listen	8.583	5.075	6.829
1546	hair	beard	8.858	4.785	6.821
785	find	hide	7.252	6.381	6.817
670	fly	kite	8.832	4.779	6.805
225	lip	tongue	7.465	6.143	6.804
38	cool	okay	6.214	7.387	6.8
887	web	spider	7.897	5.638	6.767
1760	lawn	yard	6.088	7.445	6.766
1734	dye	hair	4.663	8.858	6.76
1758	island	beach	5.742	7.767	6.755
1463	miss	lady	5.645	7.844	6.744
223	bird	nest	8.233	5.221	6.727
114	camp	tent	7.206	6.218	6.712
337	brush	wash	6.414	6.985	6.699
1001	cup	mug	8.117	5.282	6.699
448	animal	wild	8.508	4.881	6.695
1333	cover	hide	7.007	6.381	6.694
671	world	country	8.111	5.257	6.684
1707	heat	cold	6.106	7.256	6.681
889	tie	rope	7.907	5.452	6.679
1442	wife	husband	7.376	5.977	6.676
996	car	trunk	10.442	2.906	6.674
1217	zoo	cage	6.944	6.38	6.662
999	bar	club	6.822	6.452	6.637
1706	hook	line	5.166	8.075	6.621
684	rabbit	carrot	6.906	6.335	6.62
1722	type	kind	5.99	7.249	6.619
1704	win	lose	7.525	5.705	6.615
1559	flower	rose	7.484	5.723	6.603
1327	van	driver	7.308	5.896	6.602
1338	sack	bag	4.943	8.232	6.587
1650	tip	dollar	6.071	7.096	6.584
354	drop	throw	6.807	6.353	6.58
350	touch	skin	5.47	7.655	6.563
1701	camera	picture	5.794	7.33	6.562
1872	ski	snow	5.218	7.904	6.561
1812	boat	sail	8.397	4.718	6.557
592	tuck	bed	3.504	9.6	6.552
673	new	shiny	8.784	4.31	6.547
1218	bowl	soup	7.053	6.03	6.542
1885	soup	bowl	6.03	7.053	6.542
15	tooth	jaw	7.216	5.864	6.54
1729	seat	sofa	7.46	5.619	6.54
1642	jet	plane	6.57	6.493	6.531
1772	spoon	fork	6.456	6.568	6.512
1824	banana	apple	6.056	6.969	6.512
248	notice	look	4.519	8.48	6.499
820	listen	hear	5.075	7.92	6.498
1453	grass	lawn	6.906	6.088	6.497
915	corner	block	5.724	7.254	6.489
1652	hear	loud	7.92	5.053	6.487
1761	bath	shower	7.34	5.63	6.485
1692	case	lawyer	7.813	5.148	6.481
1702	aunt	uncle	6.695	6.206	6.451
774	fan	singer	7.542	5.357	6.45
675	gift	present	7.06	5.837	6.448
826	cigarette	fire	3.661	9.215	6.438
712	garbage	bin	4.629	8.197	6.413
