word1   word2   match   difficulty
foo voo 1   1
ree yee 1   1
zon lon 1   1
fom vom 1   1
lom gom 1   1
zod fod 1   1
wod lod 1   1
stap    drap    1   1
proy    sloy    1   1
mool    vool    1   1
dool    nool    1   1
heef    meef    1   1
neef    peef    1   1
moop    woop    1   1
toop    roop    1   1
cank    mank    1   1
ronk    ponk    1   1
bosh    kosh    1   1
tish    pish    1   1
besh    fesh    1   1
gock    bock    1   1
cack    dack    1   1
rath    nath    1   1
shan    pran    1   1
bith    dith    1   1
foom    hoom    1   1
leem    keem    1   1
grap    blap    1   1
senk    henk    1   1
tenk    penk    1   1
fick    zick    1   1
tast    bast    1   1
gant    mant    1   1
rint    wint    1   1
jang    zang    1   1
gat ree 0   1
fom fum 0   1
lom lim 0   1
vom von 0   1
fod fud 0   1
wod wob 0   1
bool    beel    0   1
keef    keet    0   1
koof    peef    0   1
doop    dool    0   1
soom    soob    0   1
nank    nink    0   1
lonk    losk    0   1
kosh    rish    0   1
dist    bish    0   1
golk    vock    0   1
nath    woth    0   1
mong    loth    0   1
hust    soch    0   1
weem    foon    0   1
foob    foos    0   1
menk    munk    0   1
denk    donk    0   1
peth    pech    0   1
tesh    tash    0   1
gast    gask    0   1
nish    nith    0   1
gint    gind    0   1
dast    dask    0   1
cosh    goch    0   1
lish    mich    0   1
zock    zong    0   1
jick    jisk    0   1
sant    sont    0   1
fank    fant    0   1
rop zop 1   2
fom vom 1   2
rall    nall    1   2
mool    dool    1   2
joom    noom    1   2
mook    wook    1   2
ponk    ronk    1   2
soth    zoth    1   2
fing    ning    1   2
pake    dake    1   2
shim    blim    1   2
crod    grod    1   2
cham    stam    1   2
slup    glup    1   2
scaw    praw    1   2
tay zei 1   2
zzz zzz 0   0
feem    keam    1   2
deek    neak    1   2
doke    goak    1   2
tope    boap    1   2
zow lao 1   2
foy doi 1   2
goff    roph    1   2
heek    veke    1   2
bime    pyme    1   2
fane    tain    1   2
wole    zoal    1   2
jeed    zede    1   2
nide    fied    1   2
fot foy 0   2
ree reu 0   2
fom bem 0   2
wom pum 0   2
dat dit 0   2
bool    jeel    0   2
sath    sach    0   2
rill    tull    0   2
pook    bock    0   2
pake    pape    0   2
zay zau 0   2
foo foi 0   2
zzz zzz 0   0
bame    moom    0   2
dake    neak    0   2
tope    toop    0   2
zei zie 0   2
goit    goot    0   2
woop    woap    0   2
sair    sarr    0   2
plam    pran    0   2
chot    chod    0   2
staw    scow    0   2
fram    trad    0   2
drap    dran    0   2
fyme    feme    0   2
zale    zall    0   2
tade    tand    0   2
lail    laip    0   2
feek    fesk    0   2
bapo    napo    1   3
zzz zzz 0   0
zzz zzz 0   0
ballow  pallo   1   3
drapo   slapo   1   3
bapoh   mapoe   1   3
rasket  maskit  1   3
veery   feary   1   3
baction tackshin    1   3
meachy  sichi   1   3
dattle  gattel  1   3
pemish  klemmish    1   3
zzz zzz 0   0
mulky   tulkie  1   3
pandy   tandee  1   3
rannon  gannin  1   3
sipick  dippik  1   3
nator   sater   1   3
liro    peero   1   3
mosiph  coasiff 1   3
mecent  keesint 1   3
boary   forrie  1   3
nallice talliss 1   3
peacon  sheekin 1   3
ficky   wickie  1   3
brapo   kralo   0   3
culer   guller  0   3
reter   jatter  0   3
capo    bago    0   3
wapo    bapa    0   3
shofy   sheffy  0   3
lapo    lamu    0   3
neery   norry   0   3
hannon  hinnon  0   3
goro    guro    0   3
gicker  finker  0   3
lashen  lashet  0   3
tiner   minner  0   3
moggle  riggle  0   3
pitten  sutten  0   3
maxin   zackon  0   3
tarva   gava    0   3
wasso   resso   0   3
dather  ratter  0   3
jorum   beerum  0   3
doory   poroy   0   3
godom   goram   0   3
naction bartion 0   3
salky   salney  0   3
meachen reeshan 0   3
gompo   rompo   1   4
zzz zzz 0   0
pabel   nable   1   4
sawby   tauby   1   4
afeek   omeek   1   4
noor    amoor   1   4
kemote  lemoat  1   4
gand    lemand  1   4
pemean  timeen  1   4
kide    beride  1   4
voot    mirute  1   4
aduce   matoose 1   4
bope    egope   1   4
mips    aglipse 1   4
eboke   remoak  1   4
lameed  abede   1   4
taph    biraffe 1   4
pachine washeen 1   4
froony  truny   1   4
teyman  paymen  1   4
gompo   gonto   0   4
renerve setarve 0   4
dranounce   ronance 0   4
sompo   forpo   0   4
tompo   tompe   0   4
velong  vellang 0   4
wompo   wombu   0   4
barther polter  0   4
dassie  pacie   0   4
garine  karone  0   4
cageen  hagoon  0   4
poselle poset   0   4
dotel   rotem   0   4
broon   eborn   0   4
stide   mastid  0   4
grote   garot   0   4
ploot   pirel   0   4
baffe   bophit  0   4
dreacher    dacher  0   4
teiman  coyman  0   4
labuna  maguna  1   5
regandent   pecandant   1   5
livarric    befarrik    1   5
abbontice   elontiss    1   5
paduka  barooka 1   5
eboshin rotion  1   5
motting abotting    1   5
featona beedona 1   5
teenal  odrenal 1   5
pakimbo gimbo   1   5
zzz zzz 0   0
corfus  aborphous   1   5
kemeabo aleebo  1   5
lachnid emacknid    1   5
cappendage  ramendage   1   5
bemoken reloken 1   5
darciss gatarsis    1   5
foramic notamic 1   5
vusion  wontusion   1   5
niser   tisguiser   1   5
bission motrition   1   5
pilemma diremma 1   5
pirasster   bewasster   1   5
mosle   riposal 1   5
koosive erusive 1   5
ocastic natastic    1   5
quipment    rokipment   1   5
drafalgo    trivalgo    1   5
liguana mikwana 1   5
wamortal    japortal    1   5
samella dackella    1   5
pimosa  hicosa  1   5
loschito    fuspeeto    1   5
iffit   rohiffet    1   5
omunda  sapunda 1   5
moren   amiren  0   5
tanewal tanowil 0   5
moducer roduber 0   5
libuna  labona  0   5
tatoodle    catoodie    0   5
nifastic    pashic  0   5
labuna  lacuno  0   5
reluctive   lattive 0   5
gobotic gobaric 0   5
sepamey sebamoe 0   5
conata  gonuto  0   5
riletto bamito  0   5
kastili bassuli 0   5
lodacco topucko 0   5
uncasten    ancoffen    0   5
weelong umbeeling   0   5
caboral cameeral    0   5
gorona  godonna 0   5
tomestic    omastic 0   5
paction pejection   0   5
zzz zzz 0   0
hogma   ashigma 0   5
biasco  birusco 0   5
formitten   forcatton   0   5
sorilla sarella 0   5
dermetic    wermutic    0   5
nimpordent  nimpardin   0   5
jacent  impessant   0   5
hoban   inhabin 0   5
tegato  legoda  0   5
varsella    barseela    0   5
ebossum obesum  0   5
noya    lupaya  0   5
sembloy attembly    0   5
medential   pimental    0   5
emodify ledodify    1   6
camiliar    pomilier    1   6
mapidation  racation    1   6
innercoptive    agoptive    1   6
abossity    arrocity    1   6
irracudate  illacudait  1   6
pedanafisk  romanatisk  1   6
caddishinal beritional  1   6
magorable   weplorable  1   6
kabology    jacologie   1   6
ritastrophe benastrophy 1   6
fibettitude vettitood   1   6
natholicize gollisize   1   6
jaminate    wintaminate 1   6
cupadimote  recadimoat  1   6
zzz zzz 0   0
marpiphany  gabiffiny   1   6
zzz zzz 0   0
pendify immendify   1   6
rimputable  discutible  1   6
zzz zzz 0   0
capponica   dawnica 1   6
wallogony   rippogany   1   6
untreasingly    condeezingly    1   6
milfactory  olbactory   1   6
doralysis   nialysis    1   6
varcinsula  pomminsula  1   6
golitical   samitticle  1   6
descentable zentable    1   6
zzz zzz 0   0
ecodify emadiffy    0   6
zzz zzz 0   0
wastodian   jostidium   0   6
apicular    amocular    0   6
teconomist  teconumost  0   6
bemanticide befadecode  0   6
lecovery    picovany    0   6
vermissible vanisibe    0   6
pactangular dectongular 0   6
kideemable  lademmable  0   6
nactory revectory   0   6
refenerate  remannorate 0   6
bitaliate   mitelliot   0   6
zzz zzz 0   0
zenariol    scenuriel   0   6
crociety    nocacity    0   6
keprumacy   beplomacy   0   6
tinnectrical    pinnectoche 0   6
raffography abbigraph   0   6
tambopular  dincovutor  0   6
zzz zzz 0   0
tinsavory   donsippery  0   6
inmeekable  someccable  0   6
lidentipede macentipode 0   6
macuity garooty 0   6
abrenaline  appondalin  0   6
tosperagus  disperguis  0   6
wasilica    bapporica   0   6
jaffoonery  nacconery   0   6
oncavity    limpuvity   0   6
wanitricity bonidicity  1   7
runilasserole   banicasseral    1   7
mexatellular    rickadellular   1   7
inderbesticle   chiropestical   1   7
goraformity ludivormity 1   7
poraseemable    currodeemible   1   7
oderational cational    1   7
tudimentary zuripentery 1   7
questimology    addicology  1   7
zzz zzz 0   0
dromplicentary  fanglimentary   1   7
intradictory    bindavictary    1   7
mistrionical    astriconical    1   7
zzz zzz 0   0
onumbeachable   jeechable   1   7
cautograph  panimottograph  1   7
begatissimo logurissimo 1   7
cypermollicle   waiperbollical  1   7
rotoriferous    poderifferous   1   7
ackydermia  dochythermia    1   7
folligenesis    galitenesis 1   7
noccability mechavility 1   7
zzz zzz 0   0
kerophysical    garosizzicle    1   7
capprehentative abresentative   1   7
ladirocracy serocency   0   7
imboscribable   indascribble    0   7
posteopathy poshiapury  0   7
banomanity  banomunity  0   7
amuridater  ramunicoter 0   7
toneographer    teonagrapper    0   7
sallananogram   becadanogrim    0   7
nemacephalous   jemalogamous    0   7
whitticality    metticalty  0   7
tanzibility wannibilly  0   7
jellativity beracility  0   7
odonformity godiformally    0   7
chlorimentary   worimictory 0   7
gambomaniac timbosomniac    0   7
emyniascope omayiscape  0   7
saddepotomus    kaddanetamus    0   7
ribbalority glopularity 0   7
ingobriety  gobbrity    0   7
mangitudinal    zarricudiral    0   7
dittalocitous   pittagous   0   7
jormable    horicamable 0   7
mussiresticle   bussicle    0   7
devapitulate    rumipostulate   0   7
zorrigenarian   rigenian    0   7
sictory nasibactory 0   7
