word	syllables	letters
aff	1	3
ach	1	3
bap	1	3
baw	1	3
bab	1	3
bax	1	3
bep	1	3
beb	1	3
bes	1	3
bem	1	3
ber	1	3
bew	1	3
bex	1	3
bix	1	3
bim	1	3
bip	1	3
bis	1	3
bok	1	3
bup	1	3
cag	1	3
cay	1	3
cer	1	3
cen	1	3
cug	1	3
daw	1	3
dak	1	3
dut	1	3
dif	1	3
deg	1	3
eef	1	3
eem	1	3
eeb	1	3
foy	1	3
fod	1	3
fom	1	3
faw	1	3
fup	1	3
fid	1	3
fim	1	3
fip	1	3
fis	1	3
gaw	1	3
gan	1	3
gad	1	3
gom	1	3
gow	1	3
gub	1	3
gep	1	3
hab	1	3
han	1	3
het	1	3
hep	1	3
hin	1	3
hom	1	3
ish	1	3
jat	1	3
jad	1	3
jep	1	3
jit	1	3
jid	1	3
jom	1	3
jub	1	3
kaf	1	3
ket	1	3
kem	1	3
kom	1	3
kug	1	3
lar	1	3
lep	1	3
lem	1	3
lif	1	3
lom	1	3
lor	1	3
lup	1	3
lun	1	3
lud	1	3
mab	1	3
mem	1	3
mib	1	3
mim	1	3
mup	1	3
nem	1	3
nid	1	3
ood	1	3
oob	1	3
oon	1	3
pag	1	3
pem	1	3
pid	1	3
pim	1	3
pob	1	3
pud	1	3
rab	1	3
ret	1	3
ren	1	3
rit	1	3
rin	1	3
rog	1	3
rud	1	3
sog	1	3
tem	1	3
teg	1	3
tib	1	3
vam	1	3
vad	1	3
ved	1	3
vot	1	3
vop	1	3
vun	1	3
weg	1	3
wid	1	3
wol	1	3
wum	1	3
zat	1	3
zay	1	3
zin	1	3
zod	1	3
zog	1	3
foo	1	3
voo	1	3
ree	1	3
zie	1	3
fou	1	3
vou	1	3
beeb	1	4
beel	1	4
coob	1	4
coof	1	4
deeb	1	4
deek	1	4
doob	1	4
doof	1	4
dook	1	4
dool	1	4
doop	1	4
doot	1	4
feeb	1	4
feek	1	4
feem	1	4
feen	1	4
feep	1	4
foob	1	4
foon	1	4
foop	1	4
geed	1	4
geel	1	4
geem	1	4
geep	1	4
geet	1	4
goob	1	4
goom	1	4
goot	1	4
heek	1	4
heem	1	4
heen	1	4
hoob	1	4
hool	1	4
hoom	1	4
hoon	1	4
jeed	1	4
jeek	1	4
jeel	1	4
jeem	1	4
jeet	1	4
joom	1	4
joon	1	4
joop	1	4
joor	1	4
joot	1	4
keeb	1	4
keef	1	4
keek	1	4
keem	1	4
keer	1	4
koob	1	4
koof	1	4
koom	1	4
leem	1	4
leet	1	4
loof	1	4
meeb	1	4
meef	1	4
mees	1	4
moob	1	4
moof	1	4
mook	1	4
mool	1	4
moom	1	4
moop	1	4
neeb	1	4
neef	1	4
neek	1	4
neem	1	4
neen	1	4
neep	1	4
noof	1	4
nool	1	4
noom	1	4
noop	1	4
noor	1	4
noot	1	4
peeb	1	4
peef	1	4
peem	1	4
peen	1	4
poob	1	4
pook	1	4
poom	1	4
reeb	1	4
reen	1	4
rees	1	4
reet	1	4
roob	1	4
roon	1	4
roop	1	4
seeb	1	4
seef	1	4
soob	1	4
soof	1	4
sook	1	4
sool	1	4
soom	1	4
soor	1	4
teeb	1	4
teep	1	4
tood	1	4
toof	1	4
toom	1	4
veed	1	4
veef	1	4
veek	1	4
veem	1	4
veen	1	4
veet	1	4
voob	1	4
vood	1	4
voof	1	4
vook	1	4
vool	1	4
voom	1	4
voon	1	4
voop	1	4
voor	1	4
voot	1	4
weeb	1	4
weel	1	4
weem	1	4
weer	1	4
weet	1	4
woob	1	4
wook	1	4
woom	1	4
woon	1	4
woor	1	4
zeeb	1	4
zeed	1	4
zeef	1	4
zeem	1	4
zeen	1	4
zeep	1	4
zeer	1	4
zeet	1	4
zoob	1	4
zood	1	4
zoof	1	4
zook	1	4
zool	1	4
zoop	1	4
zoor	1	4
zoot	1	4
bech	1	4
dach	1	4
dech	1	4
fach	1	4
gach	1	4
goch	1	4
hech	1	4
hoch	1	4
kuch	1	4
luch	1	4
mich	1	4
moch	1	4
nach	1	4
nech	1	4
nuch	1	4
pech	1	4
poch	1	4
puch	1	4
rach	1	4
roch	1	4
ruch	1	4
sech	1	4
soch	1	4
